2019/04/15 01:03:13 [error] 578#578: *2250 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:22 [error] 578#578: *2253 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:29 [error] 578#578: *2256 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:35 [error] 578#578: *2259 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:41 [error] 578#578: *2262 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:47 [error] 578#578: *2265 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:53 [error] 578#578: *2268 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:03:59 [error] 578#578: *2271 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:04:05 [error] 578#578: *2274 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
2019/04/15 01:04:11 [error] 578#578: *2277 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /centryl/ws HTTP/1.1", upstream: "http://127.0.0.1:9000/ws", host: "localhost"
